idx,original_post,sentence1,sentence2,automatic_antithesis,gold_label,real_antithesis,contrast
277,"Was steckt hinter dem Begriff 'Great Reset'? Die Corona Krise wird zu massiven Verwerfungen und Veränderungen unseres Systems führen, warnt der Wirtschaftsprofessor Max Otte – und erklärt im Interview, wie Sie sich und ihr Geld am besten schützen können. ",Was steckt hinter dem Begriff,erklärt im Interview,0,0,0,0
278,"Normalerweise sollte sich ein Parlament zuerst informieren und dann entscheiden. Ein neuer Gesetzesentwurf lässt nun den Verdacht aufkommen, dass es bei der geplanten Verlängerung der pandemischen Lage durch den Bundestag umkehrt sein könnte. ",Ein neuer Gesetzesentwurf lässt nun den Verdacht aufkommen,dass es bei der geplanten Verlängerung der pandemischen Lage durch den Bundestag umkehrt sein könnte,0,0,0,1
279,"Spahn ließ Journalisten ausforschen: Er wollte vom Grundbuchamt wissen, wer dort Fragen zu seinen Immobilienkäufen stellte, und welche. Ich hatte auch angefragt. Spahns Verhalten ist verstörend. Der positive Aspekt: Es brachte heute Leben in die BPK: ",wer dort Fragen zu seinen Immobilienkäufen stellte,Es brachte heute Leben in die BPK,0,0,0,0
280,"EIn Urgestein der Süddeutschen empört sich über die Rufmord Attacke seiner Zeitung gegen mich: ''Die SZ hat gehört, dass sich Regierungssprecher über ihn beschwert hätten. Da springt man dem Staat gerne zur Seite. Dass in derselben Ausgabe eine ganzseitige Impf Anzeige des Gesundheitsministeriums stand, ist wahrscheinlich reiner Zufall.'  Am schönsten in dem Artikel finde ich den Schluss: 'Wie unangenehm Reitschuster sein kann, bewies er schon in Moskau. Keiner kritisierte Putin mehr als er, und als er endlich ging, schlug man drei Kreuze. Nur hätte dort kein unabhängiges Blatt gemeinsame Sache mit dem Kreml gemacht.“",Dass in derselben Ausgabe eine ganzseitige Impf Anzeige des Gesundheitsministeriums stand,Nur hätte dort kein unabhängiges Blatt gemeinsame Sache mit dem Kreml gemacht,0,0,0,0
281,"Je schlimmer die Lage, umso (lebens)wichtiger der Humor – dieses Motto war schon im Sozialismus Überlebens Strategie. Deshalb heute hier ein Märchen über die 'alaskanische Corona Mutante' von Steffen Meltzer – als Medizin der etwas anderen Art. ",Je schlimmer die Lage,Deshalb heute hier ein Märchen über die,0,0,1,1
282,"Je schlimmer die Lage, umso (lebens)wichtiger der Humor – dieses Motto war schon im Sozialismus Überlebens Strategie. Deshalb heute hier ein Märchen über die 'alaskanische Corona Mutante' von Steffen Meltzer – als Medizin der etwas anderen Art. ",von Steffen Meltzer,als Medizin der etwas anderen Art,0,0,1,1
283,"Was ist dran am “Great Reset? World Economic Forum Gründer Schwab behauptet, nach der Pandemie werde der Kapitalismus in jetziger Form nicht mehr existieren können, eine massive Umverteilung von Reich zu Arm stehe bevor. Wo wird die Reise hingehen? ",World Economic Forum Gründer Schwab behauptet,nach der Pandemie werde der Kapitalismus in jetziger Form nicht mehr existieren können,0,0,0,0
284,"Wie viel China steckt im deutschen Lockdown? Ein Doktorand aus der Schweiz, der offen Sympathie für den autoritären Weg der Kommunisten in China zeigt, war  einer der maßgeblichen Autoren des durch Manipulationen zustande gekommen Horror Szenarios des Innenministeriums, das Grundlage für den Lockdown und die Einschränkung unserer Grundrechte war.  ",Ein Doktorand aus der Schweiz,das Grundlage für den Lockdown,0,0,0,0
285,"Wie viel China steckt im deutschen Lockdown? Ein Doktorand aus der Schweiz, der offen Sympathie für den autoritären Weg der Kommunisten in China zeigt, war  einer der maßgeblichen Autoren des durch Manipulationen zustande gekommen Horror Szenarios des Innenministeriums, das Grundlage für den Lockdown und die Einschränkung unserer Grundrechte war.  ",Ein Doktorand aus der Schweiz,die Einschränkung unserer Grundrechte war,0,0,0,0
286,"Der Schweigemarsch gegen Corona Maßnahmen in Berlin wurde gestern für die Teilnehmer zum Spießrutenlauf. Haß und Hetze, die von Politik und Medien geschürt werden, führten zu massiver Aggression von Gegendemonstranten. Auch gegen mich. Demokratie Notstand. ",Haß und Hetze,Demokratie Notstand,0,0,0,0
287,"Schizophrener Umgang mit Schizophrenie: Der Umgang von Politik und Medien mit der Tragödie von Hanau zeugt  von völliger Unkenntnis, schlimmstenfalls von völliger Ignoranz gegenüber psychischen Erkrankungen. Schon der Begriff Attentat ist falsch.  ",Schizophrener Umgang mit Schizophrenie,Der Umgang von Politik,0,0,0,0
288,"Normal freut man sich nicht, wenn einen der Chef am Samstag anruft. Heute meldete sich mein Ex Chef, Focus Gründer Helmut Markwort. Um mir seine Solidarität auszudrücken, und wie schlimm er die Angriffe von Süddeutscher & Co. findet. Die dreisten Attacken gehen nach hinten los.",wenn einen der Chef am Samstag anruft,Um mir seine Solidarität auszudrücken,0,0,0,1
289,"Süddeutsche Zeitung entert mit Störartikel Bundespresse­konferenz'  – Alexander Wallasch über die Angriffe gegen mich: 'Dann nennt die  Zeitung Roß und Reiter und erklärt, warum sie einen Angriff gegen Boris Reitschuster fährt: Es hätten sich – aufgepasst! – mehrere Sprecher und Sprecherinnen der Bundesregierung beschwert, dass die Bundespressekonferenz     ‘gekapert‘ worden sei. Auch der Name Reitschuster sei dabei immer wieder gefallen.   Die Süddeutsche Zeitung ist in einen Skandal verwickelt, der nüchtern betrachtet den des Spiegels mit seinem Fälscher Autoren Relotius noch übersteigt. Denn dabei geht es um einen Angriff auf die Pressefreiheit gegen einen Kollegen mutmaßlich, um sich der Bundesregierung anzudienen. Wie tief muss man da miteinander verfilzt sein, wie schlecht müssen Auflage und Zukunftsprognose sein, auf diese Weise journalistische Grundsätze über Bord zu werfen'  ",Dann nennt die  Zeitung Roß und Reiter und erklärt,warum sie einen Angriff gegen Boris Reitschuster fährt,0,0,0,0
290,"Süddeutsche Zeitung entert mit Störartikel Bundespresse­konferenz'  – Alexander Wallasch über die Angriffe gegen mich: 'Dann nennt die  Zeitung Roß und Reiter und erklärt, warum sie einen Angriff gegen Boris Reitschuster fährt: Es hätten sich – aufgepasst! – mehrere Sprecher und Sprecherinnen der Bundesregierung beschwert, dass die Bundespressekonferenz     ‘gekapert‘ worden sei. Auch der Name Reitschuster sei dabei immer wieder gefallen.   Die Süddeutsche Zeitung ist in einen Skandal verwickelt, der nüchtern betrachtet den des Spiegels mit seinem Fälscher Autoren Relotius noch übersteigt. Denn dabei geht es um einen Angriff auf die Pressefreiheit gegen einen Kollegen mutmaßlich, um sich der Bundesregierung anzudienen. Wie tief muss man da miteinander verfilzt sein, wie schlecht müssen Auflage und Zukunftsprognose sein, auf diese Weise journalistische Grundsätze über Bord zu werfen'  ",Dann nennt die  Zeitung Roß und Reiter und erklärt,mehrere Sprecher und Sprecherinnen der Bundesregierung beschwert,0,0,0,0
291,"Süddeutsche Zeitung entert mit Störartikel Bundespresse­konferenz'  – Alexander Wallasch über die Angriffe gegen mich: 'Dann nennt die  Zeitung Roß und Reiter und erklärt, warum sie einen Angriff gegen Boris Reitschuster fährt: Es hätten sich – aufgepasst! – mehrere Sprecher und Sprecherinnen der Bundesregierung beschwert, dass die Bundespressekonferenz     ‘gekapert‘ worden sei. Auch der Name Reitschuster sei dabei immer wieder gefallen.   Die Süddeutsche Zeitung ist in einen Skandal verwickelt, der nüchtern betrachtet den des Spiegels mit seinem Fälscher Autoren Relotius noch übersteigt. Denn dabei geht es um einen Angriff auf die Pressefreiheit gegen einen Kollegen mutmaßlich, um sich der Bundesregierung anzudienen. Wie tief muss man da miteinander verfilzt sein, wie schlecht müssen Auflage und Zukunftsprognose sein, auf diese Weise journalistische Grundsätze über Bord zu werfen'  ",warum sie einen Angriff gegen Boris Reitschuster fährt,mehrere Sprecher und Sprecherinnen der Bundesregierung beschwert,0,0,0,0
292,"Süddeutsche Zeitung entert mit Störartikel Bundespresse­konferenz'  – Alexander Wallasch über die Angriffe gegen mich: 'Dann nennt die  Zeitung Roß und Reiter und erklärt, warum sie einen Angriff gegen Boris Reitschuster fährt: Es hätten sich – aufgepasst! – mehrere Sprecher und Sprecherinnen der Bundesregierung beschwert, dass die Bundespressekonferenz     ‘gekapert‘ worden sei. Auch der Name Reitschuster sei dabei immer wieder gefallen.   Die Süddeutsche Zeitung ist in einen Skandal verwickelt, der nüchtern betrachtet den des Spiegels mit seinem Fälscher Autoren Relotius noch übersteigt. Denn dabei geht es um einen Angriff auf die Pressefreiheit gegen einen Kollegen mutmaßlich, um sich der Bundesregierung anzudienen. Wie tief muss man da miteinander verfilzt sein, wie schlecht müssen Auflage und Zukunftsprognose sein, auf diese Weise journalistische Grundsätze über Bord zu werfen'  ",warum sie einen Angriff gegen Boris Reitschuster fährt,auf diese Weise journalistische Grundsätze über Bord zu werfen,0,0,0,0
293,"Süddeutsche Zeitung entert mit Störartikel Bundespresse­konferenz'  – Alexander Wallasch über die Angriffe gegen mich: 'Dann nennt die  Zeitung Roß und Reiter und erklärt, warum sie einen Angriff gegen Boris Reitschuster fährt: Es hätten sich – aufgepasst! – mehrere Sprecher und Sprecherinnen der Bundesregierung beschwert, dass die Bundespressekonferenz     ‘gekapert‘ worden sei. Auch der Name Reitschuster sei dabei immer wieder gefallen.   Die Süddeutsche Zeitung ist in einen Skandal verwickelt, der nüchtern betrachtet den des Spiegels mit seinem Fälscher Autoren Relotius noch übersteigt. Denn dabei geht es um einen Angriff auf die Pressefreiheit gegen einen Kollegen mutmaßlich, um sich der Bundesregierung anzudienen. Wie tief muss man da miteinander verfilzt sein, wie schlecht müssen Auflage und Zukunftsprognose sein, auf diese Weise journalistische Grundsätze über Bord zu werfen'  ",mehrere Sprecher und Sprecherinnen der Bundesregierung beschwert,auf diese Weise journalistische Grundsätze über Bord zu werfen,0,0,0,0
294,"Süddeutsche Zeitung entert mit Störartikel Bundespresse­konferenz'  – Alexander Wallasch über die Angriffe gegen mich: 'Dann nennt die  Zeitung Roß und Reiter und erklärt, warum sie einen Angriff gegen Boris Reitschuster fährt: Es hätten sich – aufgepasst! – mehrere Sprecher und Sprecherinnen der Bundesregierung beschwert, dass die Bundespressekonferenz     ‘gekapert‘ worden sei. Auch der Name Reitschuster sei dabei immer wieder gefallen.   Die Süddeutsche Zeitung ist in einen Skandal verwickelt, der nüchtern betrachtet den des Spiegels mit seinem Fälscher Autoren Relotius noch übersteigt. Denn dabei geht es um einen Angriff auf die Pressefreiheit gegen einen Kollegen mutmaßlich, um sich der Bundesregierung anzudienen. Wie tief muss man da miteinander verfilzt sein, wie schlecht müssen Auflage und Zukunftsprognose sein, auf diese Weise journalistische Grundsätze über Bord zu werfen'  ",Die Süddeutsche Zeitung ist in einen Skandal verwickelt,auf diese Weise journalistische Grundsätze über Bord zu werfen,0,0,0,0
295,"Früher stand die CSU für bayerisches Lebensgefühl und Kultur. Jetzt zerstört der CSU Chef Jahrhunderte alte Traditionen, Familienbetriebe, und damit auch ein gutes Stück bayerischer Lebensart und Lebensfreude. Ein Nach  und Hilferuf zugleich aus dem Freistaat. ",Früher stand die CSU für bayerisches Lebensgefühl,Jetzt zerstört der CSU Chef Jahrhunderte alte Traditionen,1,1,1,1
296,"„But… that’s crazy?!“ – das ist eine häufige Reaktion, wenn man Schweden über die Corona Maßnahmen in Deutschland erzählt. Dabei ist es ganz und gar nicht so, dass die Schweden nichts tun. Aber die Menschen werden dort wie Erwachsene behandelt. Über einen anderen Weg, der hierzulande oft verschwiegen oder diskreditiert wird – weil er die 'Alternativlosigkeit' des deutschen Kurses ins Wanken bringen könnte. ",wenn man Schweden über die Corona Maßnahmen in Deutschland erzählt,weil er die 'Alternativlosigkeit' des deutschen Kurses ins Wanken bringen könnte,0,0,0,1
297,"Die Süddeutsche Zeitung versucht, der Bundespressekonferenz dabei zu helfen, Boris Reitschuster loszuwerden– mit schlechter Recherche und falschen Behauptungen. Ein Lehrstück über die Bedrohung des Journalismus durch ein polit mediales Kartell.' Von Alexander Fritsch. ",Boris Reitschuster loszuwerden– mit schlechter Recherche und falschen Behauptungen,Ein Lehrstück über die Bedrohung des Journalismus durch ein polit mediales Kartell,0,0,0,0
298,"20 bis 30 Prozent der Krankenhauspatienten, die laut offizieller Statistik Corona Fälle sind, sind nicht wegen Corona in stationärer Behandlung, sondern wurden zufällig positiv getestet. Das ist keine Verschwörungstheorie, sondern eine Information der ZEIT. ",20 bis 30 Prozent der Krankenhauspatienten,sondern eine Information der ZEIT,0,0,0,0
299,"Spahn lobt seine Impfpolitik: Deutschland liegt bei Zweitimpfungen 'durchaus weit vorne', sagte er auf der Bundespressekonferenz (BPK). Das Verlangen nach einer Lockerung des Lockdowns sei spürbar, greifbar, aber man müsse damit sorgsam umgehen. Mein Liveticker aus der BKP: ",Spahn lobt seine Impfpolitik,Deutschland liegt bei Zweitimpfungen,0,0,0,0
300,"Spahn lobt seine Impfpolitik: Deutschland liegt bei Zweitimpfungen 'durchaus weit vorne', sagte er auf der Bundespressekonferenz (BPK). Das Verlangen nach einer Lockerung des Lockdowns sei spürbar, greifbar, aber man müsse damit sorgsam umgehen. Mein Liveticker aus der BKP: ",sagte er auf der Bundespressekonferenz,Mein Liveticker aus der BKP,0,0,0,0
301,"Freilaufende Kinder: Während Schüler bei uns immer noch oft als Super Spreader inszeniert werden, können sie in Schweden weiter ein weitgehend normales Leben führen. Eine Katastrophe bleibt dennoch aus. Es gibt also Alternativen zum 'deutschen Weg'. ",Freilaufende Kinder,deutschen Weg,0,0,0,1
302,"Juristischer Paukenschlag gegen die Impfstoffhersteller: Eine Nichtigkeitsklage soll die zentralisierte Zulassung des BioNTech Impfstoffs unterbinden. Kläger sind 36 Südtiroler aus dem Gesundheits  bzw. Pflegewesen, die sich zunehmendem Impfdruck ausgesetzt sehen. Weitere Klagen sollen folgen. ",die sich zunehmendem Impfdruck ausgesetzt sehen,Weitere Klagen sollen folgen,0,0,0,0
303,"Wenn Ideologie Sprache bestimmt: Kann es gelingen, den Duden – bisher eine Kodifizierung gewachsener sprachlicher Regeln – mit dem Setzen eigener Regeln als Zugpferd einer politischen Agenda zu benutzen?  Oder wird man sich damit völlig vergaloppieren? ",bisher eine Kodifizierung gewachsener sprachlicher Regeln,mit dem Setzen eigener Regeln,0,0,0,0
304,"In Italien kam es zu Todesfällen durch Herzstillstand nach einer Impfung. Schon in der Studie für den Biontech Impfstoff ereignete sich so ein Todesfall. Und um ihn herum gibt es Merkwürdigkeiten, beklagt der Arzt Zacharias Fögen. ",In Italien kam es zu Todesfällen durch Herzstillstand nach einer Impfung,beklagt der Arzt Zacharias Fögen,0,0,0,0
305,14 Monate ist meine Seite alt. Und doch schlägt sie schon hohe Wellen – bis in die große Politik und in die großen Medien hinein.  Das zeigt: Man kann doch etwas bewegen!  Zusammen.  Dafür allen Helfern ein ganz herzliches Dankeschön!  TeamReitschuster,Und doch schlägt sie schon hohe Wellen,Dafür allen Helfern ein ganz herzliches Dankeschön,0,0,0,0
306,14 Monate ist meine Seite alt. Und doch schlägt sie schon hohe Wellen – bis in die große Politik und in die großen Medien hinein.  Das zeigt: Man kann doch etwas bewegen!  Zusammen.  Dafür allen Helfern ein ganz herzliches Dankeschön!  TeamReitschuster,bis in die große Politik,in die großen Medien hinein,0,0,0,0
307,"Jetzt 'trendet' auf Twitter auch noch TeamReitschuster. Wer auch Immer diesen Hashtag erfunden hat – das bewegt mich sehr und freut mich riesig: Weil aus meinem Mini Ein Mann Betrieb längst Teamarbeit geworden ist. Ein ganz, ganz herzliches Dankeschön an die vielen, vielen, die mitmachen! Es ist schon eine richtige Familie geworden!",ganz herzliches Dankeschön an die vielen,Es ist schon eine richtige Familie geworden,0,0,0,0
308,"Ein Arzt gestand, wie er im Auftrag seines Chefs Totenscheine fälschte und dort Covid 19 eintrug. Jetzt packt ein Bestatter aus: Er erzählt von Merkwürdigkeiten, die ihm auffallen in seiner Arbeit – und schickte als Beleg diverse Auszüge von Totenscheinen. ",Jetzt packt ein Bestatter aus,Er erzählt von Merkwürdigkeiten,0,0,0,0
309,"Wirken Lockdowns wirklich? In South Dakota gab es fast keine Einschränkungen, Schulen und Restaurants blieben offen. North Dakota setzte auf Maskenpflicht und Restriktionen. Die Infektionszahlen waren fast deckungsgleich. Fakten, die bei uns gerne verschwiegen werden: ",In South Dakota gab es fast keine Einschränkungen,Schulen und Restaurants blieben offen,0,0,1,1
310,"Wirken Lockdowns wirklich? In South Dakota gab es fast keine Einschränkungen, Schulen und Restaurants blieben offen. North Dakota setzte auf Maskenpflicht und Restriktionen. Die Infektionszahlen waren fast deckungsgleich. Fakten, die bei uns gerne verschwiegen werden: ",In South Dakota gab es fast keine Einschränkungen,North Dakota setzte auf Maskenpflicht und Restriktionen,0,1,1,1
311,"Minus 32 Prozent für Söder: Je härter der Corona Kurs, umso größer die Zustimmung, das war bisher der Trend. Politiker wurden so zur harten Hand verleitet. Jetzt scheint sich das zu drehen – wie neue Zahlen belegen. Das könnte weit reichende Folgen haben. ",Je härter der Corona Kurs,umso größer die Zustimmung,0,0,0,1
